codes,labels
FR_1FRCFR ,Caen
FR_1FRCQF ,Calais
FR_1FRDKK ,Dunkerque
FR_1FRDPE ,Dieppe
FR_1FRLEH ,Le Havre
FR_1FRLRH ,La Rochelle
FR_1FRLRT ,Lorient
FR_1FRLSO ,Les Sables d'Olonne
FR_1FRNTE ,Nantes Saint-Nazaire
FR_1FRSML ,St Malo
FR_1FRURO ,Rouen
FR_2FRAJA ,Ajaccio
FR_2FRBIA ,Bastia
FR_2FRMRS ,Marseille
FR_2FRNOU ,Port-la-Nouvelle
FR_2FRSET ,Sète
FR_2FRTLN ,Toulon 
FR_4GPPTP ,Pointe-à-Pitre (Guadeloupe)
FR_4MQFDF ,Fort-de France (Martinique)
FR_5REPDG ,Port Réunion (ex Pointe-des-Galets) (Réunion)
NL_0NL888 ,Netherlands - other ports
NL_0NLAMS ,Amsterdam
NL_0NLDHR ,Den Helder
NL_0NLDOR ,Dordrecht
NL_0NLDZL ,Delfzijl
NL_0NLHAR ,Harlingen
NL_0NLMOE ,Moerdijk
NL_0NLRTM ,Rotterdam
NL_0NLSCE ,Scheveningen
NL_0NLTNZ ,Terneuzen
NL_0NLVLA ,Vlaardingen
NL_0NLVLI ,Vlissingen
NL_0NLZAA ,Zaanstad
NL_0NLZSP ,Zeeland Seaports
NL_0NLZWI ,Zwijndrecht
NO_0NO888 ,Norway - other ports
NO_0NOADY ,Andøy
NO_0NOAES ,Ålesund
NO_0NOALF ,Alta
NO_0NOARE ,Arendal
NO_0NOAUL ,Aurland
NO_0NOBGO ,Bergen
NO_0NOBJF ,Båtsfjord
NO_0NOBNN ,Bronnoysund
NO_0NOBOO ,Bodø
NO_0NOBRE ,Bremanger
NO_0NOBRG ,Borg
NO_0NOBRO ,Brønnøy
NO_0NOBRR ,Borre
NO_0NODRM ,Drammen
NO_0NOEGD ,Eigersund
NO_0NOEGE ,Egersund
NO_0NOFAN ,Farsund
NO_0NOFFD ,Flekkefjord
NO_0NOFRK ,Fredrikstad
NO_0NOFRO ,Florø/Flora
NO_0NOFUS ,Fusa
NO_0NOGTD ,Grimstad
NO_0NOGUL ,Gulen
NO_0NOGVL ,"Porsgrunn, Rafnes, Herøya, Brevik, Skien, Langesund, Voldsfjorden"
NO_0NOHAD ,Hadsel
NO_0NOHAL ,Halden
NO_0NOHAU ,Haugesund
